playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl,season_year,season_code
64,28.0,21.0,18.660714285714285,5.7,1.0,1.7,61.7%,0.9,2.8,31.2%,1.0,1.2,87.9%,0.4,1.6,2.0,1.0,1.0,0.7,0.1,0.1,2.5,1.6,5.4,004302,"KARASEV, SERGEY",27,https://media-cdn.incrowdsports.com/b452b831-b1fa-4891-ab9a-447261a6e7a4.png,KHI,KHI,BC Khimki,https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png,2020,E2020
65,27.0,8.0,17.5,6.5,1.0,2.4,41.5%,0.9,3.5,26.6%,1.7,2.1,80.7%,0.2,1.6,1.8,1.1,0.5,0.7,0.1,0.1,1.6,2.3,5.4,008930,"HARRISON, AARON",26,https://media-cdn.incrowdsports.com/3c5ae9f9-af9c-4a2c-a0d8-331e2ec582a7.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,2020,E2020
66,23.0,13.0,19.30217391304348,6.3,1.7,3.5,50%,0.7,1.7,43.6%,0.6,0.8,68.4%,0.2,1.4,1.6,1.1,0.7,0.8,0.1,0.1,1.7,1.4,5.5,000529,"MICOV, VLADIMIR",35,https://media-cdn.incrowdsports.com/14753a8e-0ec2-40ab-a26b-50434381d400.png,MIL,AXM,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,2020,E2020
67,31.0,16.0,21.208602150537637,5.6,1.0,2.2,44.1%,0.9,2.3,39.4%,0.9,1.0,90.6%,0.5,1.9,2.4,0.9,0.8,0.7,0.1,0.1,2.1,1.3,5.5,KIR,"KAHUDI, CHARLES",34,https://media-cdn.incrowdsports.com/09c42084-be1d-4b65-b880-9544effea93a.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,2020,E2020
68,32.0,27.0,19.934375,7.1,0.7,1.4,46.7%,1.7,3.9,42.7%,0.8,0.8,92.6%,0.6,1.3,1.9,0.8,0.7,0.3,0.2,0.2,2.5,1.0,5.6,003478,"ABRINES, ALEX",27,https://media-cdn.incrowdsports.com/47795ee0-c812-487a-be8a-67900a5ab8d5.png,BAR,FCB,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,2020,E2020
69,32.0,21.0,16.276041666666668,3.5,0.9,1.7,56.6%,0.3,0.9,36.7%,0.6,0.7,78.3%,0.6,2.3,2.9,1.1,0.6,0.6,0.2,0.2,1.2,0.7,5.6,007230,"SEDEKERSKIS, TADAS",22,https://media-cdn.cortextech.io/06b5ca08-62cf-4401-96f6-1b8aca1750e5.png,BAS,TDS,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png,2020,E2020
70,24.0,8.0,14.484027777777778,6.6,1.3,2.7,50%,1.0,2.2,45.3%,1.0,1.5,62.2%,0.2,1.0,1.1,1.6,0.4,1.0,0.0,0.4,1.1,1.7,5.8,001392,"CAUSEUR, FABIEN",33,https://media-cdn.incrowdsports.com/c02a4dc6-4b7f-4b9e-89ae-10a8ed78fd34.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,2020,E2020
71,31.0,5.0,15.870967741935484,6.0,1.6,3.1,53.1%,0.5,1.4,36.4%,1.2,1.6,74%,0.9,1.7,2.6,0.9,0.5,1.1,0.2,0.2,1.7,1.4,5.9,009818,"BENTIL, BENJAMIN",25,https://media-cdn.incrowdsports.com/c6dfea8c-0154-4bd7-8488-cdb777d90d31.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,2020,E2020
72,33.0,29.0,18.67171717171717,8.3,1.6,2.7,58.4%,1.4,3.9,35.7%,0.9,1.2,81.6%,0.5,1.2,1.6,0.9,1.0,0.8,0.2,0.2,2.1,0.9,6.1,009917,"HOLLINS, AUSTIN",29,https://media-cdn.incrowdsports.com/bd70a21a-cdb9-4e9a-bcc8-6e2c585d75f5.png,DYR,ZEN,Zenit St Petersburg,https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png,2020,E2020
73,32.0,25.0,13.91875,3.8,1.5,2.8,54.4%,0.0,0.0,0%,0.8,1.2,64.1%,1.8,2.2,3.9,0.2,0.3,0.5,0.3,0.2,1.2,1.0,6.1,003479,"KUZMIC, OGNJEN",30,https://media-cdn.incrowdsports.com/5b845a58-65c2-419e-922a-32dc3870e9ab.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2020,E2020
74,34.0,26.0,19.473529411764705,5.1,1.6,3.1,51%,0.4,1.2,32.5%,0.9,1.1,81.1%,0.4,2.0,2.4,2.4,1.3,1.6,0.4,0.4,2.5,1.7,6.4,001792,"ZAITCEV, VIACHESLAV",31,https://media-cdn.incrowdsports.com/f2d00aa9-7127-4377-88a2-d7fc5705eeb4.png,KHI,KHI,BC Khimki,https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png,2020,E2020
